algo_name,status,total_pnl,sharpe_ratio,implementation_shortfall_bps,trade_count,win_rate
vrs-m-l3,pass,1138.5,4.703422386752132,0.03637703169915935,123457,0.3543662975772941
vrs-m-l4,pass,1021.25,4.447181864172553,0.03974039957588796,99833,0.35439183436338684
vrs-m-l5,pass,1039.5,4.491744107017674,0.0397665595864151,100209,0.3545489926054546
vrs-m-l6,pass,996.0,4.3277451248780645,0.04003856907713157,101021,0.35437186327595255
vrs-m-l7,pass,1013.0,4.3857869881571245,0.039785907309247366,99979,0.35438442072835297
vrs-m-l8,pass,1028.75,4.544144351095687,0.03963786416650046,99797,0.35435934947944325
afg-b-l1,pass,453.5,2.0907791868319876,0.05308879440222891,101241,0.3512707302377495
afg-b-l2,pass,464.25,2.0581594806613880,0.05034772263718454,102005,0.35185530121072495
afg-b-l3,pass,970.0,4.580877323065416,0.05204291242159498,87760,0.35440975387420237
afg-b-l4,pass,1088.0,5.360031757285958,0.05502067094341732,86089,0.35399412236174194
afg-b-l5,pass,1088.0,5.360031757285958,0.05502067094341732,86089,0.35399412236174194
afg-b-l6,pass,832.0,3.827320152939977,0.05039047897431579,89157,0.3543187859618426
afg-b-l7,pass,950.5,4.529771278300076,0.059508392973814425,86973,0.35129292998976697
afg-b-l8,pass,1216.0,5.813982949415382,0.051602456449319434,85314,0.355779825116628
vrs-b-l1,fail,42.5,0.17035794975278176,0.042651862853200564,111488,0.3501542766934558
vrs-b-l2,pass,64.25,0.25643941410226306,0.042680292517238295,111416,0.3501471960939183
